name,company,year,Price,kms_driven,fuel_type
MarutiSuzukiVersa,Maruti,2004,90000,50000,Petrol
HondaMobilioS,Honda,2014,399000,44000,Diesel
MarutiSuzukiErtiga,Maruti,2016,730000,55000,Diesel
MarutiSuzukiVitara,Maruti,2017,725000,36000,Diesel
HyundaiVerna1.6,Hyundai,2016,195000,56000,Diesel
MarutiSuzukiSwift,Maruti,2007,130000,62000,Petrol
ToyotaFortuner3.0,Toyota,2015,1525000,120000,Diesel
MarutiSuzukiOmni,Maruti,2014,190000,6020,Petrol
HondaAmaze,Honda,2013,250000,55700,Diesel
TataIndica,Tata,2005,80000,42000,Petrol
HyundaiSantroXing,Hyundai,2003,120000,50000,Petrol
MarutiSuzukiZen,Maruti,2010,149000,35000,Petrol
MarutiSuzukiWagon,Maruti,2014,250000,18500,Petrol
MarutiSuzukiWagon,Maruti,2007,120000,7000,Petrol
HondaBrioVX,Honda,2017,450000,11000,Petrol
MarutiSuzukiZen,Maruti,2003,99999,53000,Petrol
MarutiSuzukiZen,Maruti,2008,135000,23000,Petrol
MarutiSuzukiWagon,Maruti,2016,225000,35500,Diesel
MarutiSuzukiAlto,Maruti,2010,99000,22134,Petrol
RenaultKwidRXT,Renault,2019,370000,1000,Petrol
TataNanoLx,Tata,2010,52000,9000,Petrol
JaguarXEXE,Jaguar,2016,2800000,8500,Petrol
HyundaiEonMagna,Hyundai,2014,190000,35000,Petrol
HondaCity1.5,Honda,2014,499000,22000,Petrol
HindustanMotorsAmbassador,Hindustan,2002,90000,25000,Diesel
MarutiSuzukiRitz,Maruti,2010,149000,40000,Petrol
HyundaiGrandi10,Hyundai,2017,400000,20000,Petrol
HyundaiEonD,Hyundai,2016,120000,87000,Petrol
MarutiSuzukiSwift,Maruti,2015,250000,55000,Petrol
MarutiSuzukiWagon,Maruti,2017,375000,23000,Petrol
HondaAmaze1.2,Honda,2014,381000,6000,Petrol
MarutiSuzukiEstilo,Maruti,2013,180000,65000,Petrol
MarutiSuzukiVitara,Maruti,2016,580000,25000,Diesel
MarutiSuzukiEeco,Maruti,2015,278000,39000,Petrol
HyundaiCreta1.6,Hyundai,2016,1000000,8000,Petrol
MahindraScorpioVlx,Mahindra,2013,690000,75000,Diesel
MarutiSuzukiErtiga,Maruti,2012,480000,51000,Diesel
MitsubishiLancer1.8,Mitsubishi,2006,85000,50000,Petrol
MarutiSuzukiMaruti,Maruti,2001,40000,75000,Petrol
MarutiSuzukiAlto,Maruti,2015,90000,55800,Petrol
HyundaiGrandi10,Hyundai,2015,340000,53000,Petrol
HyundaiEonD,Hyundai,2018,260000,25000,Petrol
FordFiestaSXi,Ford,2009,250000,56400,Petrol
MarutiSuzukiRitz,Maruti,2010,180000,72160,Diesel
HyundaiVernaFluidic,Hyundai,2012,350000,10000,Diesel
MarutiSuzukiWagon,Maruti,2006,90001,48000,Petrol
MarutiSuzukiEstilo,Maruti,2007,115000,36000,Petrol
AudiA62.0,Audi,2012,1599000,11500,Diesel
MarutiSuzukiWagon,Maruti,2003,130000,133000,Petrol
MarutiSuzukiWagon,Maruti,2009,159000,27000,Petrol
MarutiSuzukiWagon,Maruti,2009,160000,35000,Petrol
MarutiSuzukiAlto,Maruti,2010,110000,55000,Petrol
MarutiSuzukiBaleno,Maruti,2016,425000,40000,Petrol
HyundaiVerna1.6,Hyundai,2019,900000,2000,Petrol
MarutiSuzukiSwift,Maruti,2009,150000,45000,Petrol
HyundaiGetzPrime,Hyundai,2009,110000,20000,Petrol
HyundaiSantro,Hyundai,2000,51999,88000,Petrol
HyundaiGetzPrime,Hyundai,2009,115000,20000,Petrol
ChevroletBeatPS,Chevrolet,2012,215000,65422,Diesel
FordEcoSportTrend,Ford,2017,580000,10000,Petrol
MarutiSuzukiDzire,Maruti,2013,380000,35000,Petrol
HyundaiFluidicVerna,Hyundai,2013,350000,117000,Diesel
TataIndicaV2,Tata,2005,35000,150000,Diesel
BMWX1xDrive20d,BMW,2011,1150000,72000,Diesel
Hyundaii20Asta,Hyundai,2010,300000,10750,Petrol
HondaCity1.5,Honda,2009,269000,55000,Petrol
TataNano,Tata,2013,60000,6800,Petrol
ChevroletCruzeLTZ,Chevrolet,2014,400000,41000,Diesel
HyundaiVernaFluidic,Hyundai,2015,430000,73000,Diesel
MarutiSuzukiSwift,Maruti,2011,140000,65000,Diesel
MahindraXUV500W6,Mahindra,2014,8500003,45000,Diesel
MahindraXUV500W10,Mahindra,2018,1299000,40000,Diesel
MarutiSuzukiAlto,Maruti,2014,199000,37000,Petrol
HyundaiAccentGLE,Hyundai,2006,90000,55000,Petrol
ForceMotorsOne,Force,2013,550000,140000,Diesel
MarutiSuzukiAlto,Maruti,2019,265000,9800,Petrol
ChevroletSpark1.0,Chevrolet,2011,100000,27000,Petrol
Hyundaii10,Hyundai,2009,215000,27000,Petrol
ToyotaEtiosLiva,Toyota,2012,380000,20000,Diesel
RenaultDuster85PS,Renault,2013,401919,57923,Diesel
ChevroletEnjoy,Chevrolet,2014,490000,30201,Diesel
MarutiSuzukiAlto,Maruti,2017,280000,6200,Petrol
BMW5Series,BMW,2009,650000,37518,Petrol
ToyotaEtiosLiva,Toyota,2014,160000,24652,Petrol
MahindraJeepMM,Mahindra,2004,424000,383,Diesel
ChevroletBeatLS,Chevrolet,2016,225000,95000,Diesel
ChevroletCruzeLTZ,Chevrolet,2011,350000,35000,Diesel
JeepWranglerUnlimited,Jeep,2015,950000,3528,Diesel
MarutiSuzukiErtiga,Maruti,2013,485000,52500,Diesel
HyundaiVernaVGT,Hyundai,2010,205000,47900,Diesel
MarutiSuzukiOmni,Maruti,2012,160000,14000,Petrol
MarutiSuzukiCelerio,Maruti,2018,310000,37000,Petrol
TataZestQuadrajet,Tata,2017,180000,90000,Diesel
MahindraXUV500W6,Mahindra,2013,549900,52800,Diesel
TataIndigoCS,Tata,2016,150000,104000,Diesel
Hyundaii10Era,Hyundai,2011,175000,30000,Petrol
TataIndigoeCS,Tata,2014,95000,195000,Diesel
TataIndigoLX,Tata,2016,230000,104000,Diesel
TataIndigoeCS,Tata,2016,230000,104000,Diesel
TataIndigoMarina,Tata,2004,180000,70000,Diesel
HyundaiXcentSX,Hyundai,2015,400000,43000,Diesel
HyundaiEonMagna,Hyundai,2013,185000,23000,Petrol
RenaultDuster85,Renault,2015,385000,51000,Diesel
MarutiSuzukiAlto,Maruti,2009,90000,62000,Petrol
TataNanoLX,Tata,2010,32000,48008,Petrol
RenaultDuster110,Renault,2013,435000,39000,Diesel
MarutiSuzukiWagon,Maruti,2010,225000,40000,Petrol
MarutiSuzukiSwift,Maruti,2006,189700,48247,Petrol
MarutiSuzukiErtiga,Maruti,2012,389700,39000,Diesel
MarutiSuzukiSwift,Maruti,2014,365000,23000,Petrol
MarutiSuzukiAlto,Maruti,2017,360000,9400,Petrol
Hyundaii20Magna,Hyundai,2010,210000,50000,Petrol
Hyundaii10Magna,Hyundai,2009,170000,75000,Petrol
TataZestXE,Tata,2017,380000,70000,Diesel
MahindraXyloE8,Mahindra,2009,295000,64000,Diesel
ToyotaCorollaAltis,Toyota,2010,185000,55000,Petrol
TataManzaAqua,Tata,2014,160000,200000,Diesel
RenaultKwid1.0,Renault,2018,290000,2137,Petrol
TataVentureEX,Tata,2013,100000,30000,Diesel
MarutiSuzukiSwift,Maruti,2014,315000,44000,Petrol
SkodaOctaviaClassic,Skoda,2006,114990,65000,Diesel
MarutiSuzukiOmni,Maruti,2012,120000,160000,LPG
ChevroletBeatDiesel,Chevrolet,2011,125000,56000,Diesel
TataSumoGold,Tata,2012,210000,75000,Diesel
HyundaiVerna1.6,Hyundai,2018,855000,42000,Diesel
TataSumoGold,Tata,2012,210000,75000,Diesel
MahindraScorpio2.6,Mahindra,2007,260000,56000,Diesel
MarutiSuzukiZen,Maruti,2002,95000,10544,Petrol
MarutiSuzukiSwift,Maruti,2011,255000,64000,Petrol
MahindraScorpioSLX,Mahindra,2008,300000,70000,Diesel
HyundaiGrandi10,Hyundai,2014,340000,25000,Petrol
HyundaiElitei20,Hyundai,2017,550000,15000,Petrol
FordIkon1.6,Ford,2003,60000,50000,Petrol
ToyotaInnova2.5,Toyota,2011,750000,147000,Diesel
NissanSunnyXL,Nissan,2011,230000,52000,Petrol
ChevroletBeatLT,Chevrolet,2012,130000,90001,Diesel
MarutiSuzukiAlto,Maruti,2017,270000,21000,Petrol
MarutiSuzukiSwift,Maruti,2012,280000,48006,Diesel
MarutiSuzukiSwift,Maruti,2012,280000,48006,Diesel
MarutiSuzukiSwift,Maruti,2012,280000,48006,Diesel
ToyotaInnova2.0,Toyota,2012,600000,80000,Diesel
MarutiSuzukiSwift,Maruti,2010,190000,74000,Diesel
HyundaiElitei20,Hyundai,2015,500000,22000,Petrol
MahindraXUV500W10,Mahindra,2016,1065000,41000,Diesel
VolkswagenPoloTrendline,Volkswagen,2015,350000,25000,Diesel
ToyotaEtiosLiva,Toyota,2012,350000,85000,Diesel
MahindraTUV300T4,Mahindra,2016,540000,29500,Diesel
HyundaiElitei20,Hyundai,2015,470000,30000,Petrol
HyundaiSantroXing,Hyundai,2014,179000,57000,Petrol
MarutiSuzukiZen,Maruti,2003,48000,60000,Petrol
MarutiSuzukiCiaz,Maruti,2016,650000,50000,Petrol
HyundaiEonEra,Hyundai,2013,190000,39700,Petrol
HyundaiElantra1.8,Hyundai,2012,500000,65000,Petrol
MarutiSuzukiSwift,Maruti,2010,270000,67000,Diesel
MarutiSuzukiZen,Maruti,2008,125000,46000,Petrol
HyundaiEonEra,Hyundai,2012,188000,38000,Petrol
HyundaiGrandi10,Hyundai,2016,380000,27000,Petrol
HyundaiVernaFluidic,Hyundai,2011,365000,43000,Diesel
FordEcoSportTrend,Ford,2014,465000,47000,Petrol
Hyundaii20Magna,Hyundai,2011,240000,42000,Petrol
ChevroletBeatDiesel,Chevrolet,2016,179999,19336,Diesel
TataIndicaeV2,Tata,2015,140000,60105,Diesel
JaguarXF2.2,Jaguar,2013,2190000,29000,Diesel
AudiQ52.0,Audi,2014,2390000,34000,Diesel
BMW3Series,BMW,2011,1075000,35000,Diesel
MarutiSuzukiSwift,Maruti,2015,475000,22000,Petrol
BMWX1sDrive20d,BMW,2012,1025000,41000,Diesel
MarutiSuzukiS,Maruti,2016,615000,21000,Diesel
MarutiSuzukiErtiga,Maruti,2013,475000,48000,Diesel
MarutiSuzukiAlto,Maruti,2016,270000,38000,Petrol
HondaCitySV,Honda,2014,475000,34000,Diesel
VolkswagenVentoComfortline,Volkswagen,2011,240000,45933,Petrol
HondaCity1.5,Honda,2005,120000,68000,Petrol
AudiA42.0,Audi,2016,1900000,44000,Diesel
MahindraKUV100,Mahindra,2017,360000,35000,Diesel
TataZestXE,Tata,2018,450000,102563,Diesel
MahindraXUV500W8,Mahindra,2015,900000,28600,Diesel
MarutiSuzukiSwift,Maruti,2017,650000,41800,Diesel
TataSumoGold,Tata,2014,275000,116000,Diesel
MarutiSuzukiSwift,Maruti,2009,210000,59000,Petrol
MahindraScorpio2.6,Mahindra,2004,175000,58000,Diesel
MarutiSuzukiOmni,Maruti,2009,85000,45000,Petrol
MitsubishiPajeroSport,Mitsubishi,2015,1490000,42590,Diesel
RenaultDuster,Renault,2014,800000,7400,Diesel
VolkswagenJettaComfortline,Volkswagen,2009,450000,54500,Diesel
MarutiSuzukiErtiga,Maruti,2012,1000000,200000,Diesel
AudiA42.0,Audi,2013,1510000,27000,Diesel
VolvoS80Summum,Volvo,2015,1850000,42000,Diesel
ToyotaCorollaAltis,Toyota,2014,790000,29000,Petrol
MitsubishiPajeroSport,Mitsubishi,2015,1725000,37000,Diesel
ChevroletBeatLT,Chevrolet,2012,135000,36000,Petrol
BMWX1,BMW,2011,1000000,34000,Diesel
DatsunRediGO,Datsun,2018,299999,7000,Petrol
MercedesBenzC,Mercedes,2009,1225000,76000,Diesel
MahindraScorpioSLX,Mahindra,2004,175000,60000,Diesel
VolkswagenVentoComfortline,Volkswagen,2011,200000,95000,Diesel
TataIndigoCS,Tata,2017,270000,50000,Diesel
FordFigoPetrol,Ford,2019,525000,0,Petrol
HondaCityZX,Honda,2006,180000,50000,Petrol
MarutiSuzukiWagon,Maruti,2008,140000,68000,Petrol
FordEcoSportTrend,Ford,2014,400000,16000,Petrol
MarutiSuzukiSwift,Maruti,2016,499000,51000,Diesel
MarutiSuzukiOmni,Maruti,2009,85000,56000,Petrol
MarutiSuzukiZen,Maruti,2004,70000,100000,Petrol
RenaultDusterRxL,Renault,2015,550000,36000,Petrol
MarutiSuzukiSwift,Maruti,2014,370000,11523,Petrol
MarutiSuzukiBaleno,Maruti,2018,690000,1000,Petrol
HondaWRV,Honda,2009,250000,60000,Petrol
TataIndigoCS,Tata,2016,110000,85000,Diesel
RenaultDuster110,Renault,2013,490000,38600,Diesel
MahindraScorpioLX,Mahindra,2009,320000,95500,Diesel
MarutiSuzukiZen,Maruti,2004,68000,56000,Petrol
MarutiSuzukiWagon,Maruti,2014,130000,37458,Petrol
MarutiSuzukiSX4,Maruti,2016,970000,85960,Diesel
AudiA3Cabriolet,Audi,2015,3100000,12516,Petrol
HyundaiEonD,Hyundai,2018,280000,35000,Petrol
MarutiSuzukiZen,Maruti,2009,125000,0,Petrol
MahindraScorpioSLX,Mahindra,2008,285000,80000,Diesel
HyundaiSantroAE,Hyundai,2011,165000,45000,Petrol
MarutiSuzukiSwift,Maruti,2009,250000,51000,Diesel
MahindraScorpioS4,Mahindra,2015,865000,30000,Diesel
MahindraXyloD2,Mahindra,2011,390000,48000,Diesel
HyundaiSantro,Hyundai,2003,60000,51000,Petrol
ChevroletBeatLT,Chevrolet,2015,215000,90000,Diesel
MarutiSuzukiSwift,Maruti,2015,475000,43000,Diesel
MahindraXUV500W8,Mahindra,2015,899000,53000,Diesel
ToyotaFortuner3.0,Toyota,2013,1499000,97000,Diesel
MarutiSuzukiAlto,Maruti,2013,240000,20000,Petrol
HyundaiGetzGLE,Hyundai,2007,99000,55000,Petrol
MarutiSuzukiSwift,Maruti,2014,260000,120000,Diesel
HyundaiCreta1.6,Hyundai,2019,1200000,0,Petrol
HyundaiSantroXing,Hyundai,2007,115000,46000,Petrol
HyundaiSantroXing,Hyundai,2009,88000,43200,Petrol
MahindraXyloD2,Mahindra,2011,390000,56000,Diesel
HyundaiSantroXing,Hyundai,2007,135000,42000,Petrol
TataIndicaV2,Tata,2009,90000,30600,Diesel
Hyundaii10Sportz,Hyundai,2011,220000,38000,Petrol
HyundaiGrandi10,Hyundai,2017,424999,2550,Petrol
HyundaiSantroXing,Hyundai,2007,135000,47000,Petrol
HondaCity1.5,Honda,2005,95000,41000,Petrol
NissanMicraXL,Nissan,2017,430000,62500,Diesel
HondaCity1.5,Honda,2005,115000,68000,Petrol
MarutiSuzukiAlto,Maruti,2015,215000,50000,Petrol
MarutiSuzukiWagon,Maruti,2004,53000,69000,Petrol
MarutiSuzukiErtiga,Maruti,2012,500000,48000,Diesel
TataIndicaeV2,Tata,2012,85000,55000,Diesel
MarutiSuzukiOmni,Maruti,2013,165000,25000,Petrol
HyundaiEonEra,Hyundai,2014,200000,28400,Petrol
HyundaiEon,Hyundai,2014,200000,28000,Petrol
MarutiSuzukiSwift,Maruti,2015,425000,42000,Diesel
HyundaiVerna1.6,Hyundai,2012,600000,29000,Diesel
ChevroletTaveraLS,Chevrolet,2005,130000,68485,Diesel
TataTiagoRevotron,Tata,2018,430000,3500,Petrol
TataTiagoRevotorq,Tata,2019,568500,0,Petrol
MarutiSuzukiZen,Maruti,2006,71000,32000,Petrol
MahindraKUV100K8,Mahindra,2018,560000,8000,Diesel
FordEcoSportTitanium,Ford,2014,590000,34000,Diesel
HindustanMotorsAmbassador,Hindustan,1995,750000,37000,Petrol
FordFusion1.4,Ford,2007,125000,85455,Diesel
HyundaiSantroXing,Hyundai,2007,135000,46000,Petrol
HyundaiSantro,Hyundai,2002,60000,47000,Petrol
FiatLineaEmotion,Fiat,2009,120000,64000,Petrol
FordIkon1.3,Ford,2008,95000,46000,Petrol
MarutiSuzukiOmni,Maruti,2017,240000,8000,Petrol
TataIndicaV2,Tata,2012,115000,64000,Diesel
MahindraScorpioS4,Mahindra,2015,795000,63000,Diesel
HyundaiSantroXing,Hyundai,2007,55000,65000,Petrol
MahindraXyloD2,Mahindra,2009,300000,62000,Diesel
HyundaiGrandi10,Hyundai,2014,320000,41000,Petrol
MarutiSuzukiAlto,Maruti,2015,265000,14000,Petrol
ToyotaCorolla,Toyota,2006,160000,40000,Petrol
HyundaiEonMagna,Hyundai,2017,300000,1600,Petrol
TataSumoGrande,Tata,2010,130000,90000,Diesel
MarutiSuzukiSwift,Maruti,2011,250000,58000,Diesel
VolkswagenPoloHighline1.2L,Volkswagen,2013,380000,27000,Petrol
MarutiSuzukiAlto,Maruti,2003,42000,60000,Petrol
TataTiagoRevotron,Tata,2017,400000,31000,Petrol
MarutiSuzukiSwift,Maruti,2009,120000,90000,Diesel
MarutiSuzukiSwift,Maruti,2009,120000,90000,Diesel
TataIndigoeCS,Tata,2016,130000,150000,Diesel
ChevroletBeatLS,Chevrolet,2014,189000,31000,Diesel
MahindraXyloE8,Mahindra,2011,365000,43000,Diesel
HyundaiEonD,Hyundai,2013,170000,20000,Petrol
TataSumoGold,Tata,2013,215000,100000,Petrol
TataNano,Tata,2013,60000,7000,Petrol
HyundaiElitei20,Hyundai,2017,599999,31000,Petrol
Hyundaii10Magna,Hyundai,2009,400000,33000,Petrol
HyundaiCreta,Hyundai,2016,900000,60000,Diesel
VolkswagenPolo,Volkswagen,2013,299999,48000,Diesel
MarutiSuzukiDzire,Maruti,2014,374999,33000,Petrol
TataBoltXM,Tata,2015,600000,15000,Petrol
MarutiSuzukiAlto,Maruti,2005,70000,47000,Petrol
MarutiSuzukiAlto,Maruti,2005,100000,40000,Petrol
MarutiSuzukiRitz,Maruti,2010,150000,38000,Diesel
MarutiSuzukiAlto,Maruti,2017,225000,12500,Petrol
MarutiSuzukiDzire,Maruti,2009,210000,42000,Petrol
Hyundaii20Asta,Hyundai,2014,425000,31000,Petrol
MarutiSuzukiSwift,Maruti,2008,162000,60000,Diesel
TataIndicaV2,Tata,2005,60000,80000,Diesel
MahindraScorpioVLX,Mahindra,2014,650000,77000,Diesel
ToyotaInnova2.5,Toyota,2012,750000,75000,Diesel
MahindraXyloE8,Mahindra,2010,375000,40000,Diesel
Hyundaii20Magna,Hyundai,2011,230000,47000,Petrol
MarutiSuzukiOmni,Maruti,2000,35999,60000,Petrol
MahindraKUV100,Mahindra,2016,380000,26500,Petrol
MahindraKUV100K8,Mahindra,2019,560000,2875,Petrol
DatsunGoPlus,Datsun,2016,285000,13900,Petrol
FordEndeavor4x4,Ford,2019,2900000,9000,Diesel
TataIndicaV2,Tata,2005,39999,80000,Diesel
HyundaiSantroXing,Hyundai,2006,85000,60000,Petrol
MarutiSuzukiWagon,Maruti,2016,395000,20000,Petrol
MarutiSuzukiSwift,Maruti,2008,175000,58000,Diesel
MarutiSuzukiAlto,Maruti,2019,400000,1500,Petrol
ToyotaInnova2.5,Toyota,2011,750000,75000,Diesel
MarutiSuzukiAlto,Maruti,2016,250000,2450,Petrol
MarutiSuzukiAlto,Maruti,2019,425000,1625,Petrol
VolkswagenPoloHighline1.2L,Volkswagen,2017,525000,45000,Petrol
MahindraLogan,Mahindra,2009,130000,65000,Diesel
MarutiSuzuki800,Maruti,2000,30000,33400,Petrol
MahindraScorpio,Mahindra,2011,475000,60123,Diesel
ChevroletSail1.2,Chevrolet,2013,300000,28000,Petrol
HyundaiSantroAE,Hyundai,2003,60000,70000,Petrol
MarutiSuzukiWagon,Maruti,2006,100000,7000,Petrol
HyundaiEon,Hyundai,2018,260000,25000,Petrol
TataManza,Tata,2015,100000,100000,Diesel
ToyotaEtiosG,Toyota,2013,265000,42000,Petrol
HyundaiGetzPrime,Hyundai,2009,115000,20000,Petrol
ToyotaQualis,Toyota,2003,180000,100000,Diesel
HyundaiSantroXing,Hyundai,2004,45000,137495,Petrol
TataIndicaeV2,Tata,2016,50500,91200,Diesel
HondaCity1.5,Honda,2009,270000,55000,Petrol
TataZestXE,Tata,2017,290000,120000,Diesel
MahindraQuantoC4,Mahindra,2013,325000,63000,Diesel
TataIndigoeCS,Tata,2016,160000,104000,Diesel
MarutiSuzukiSwift,Maruti,2016,350000,146000,Diesel
HyundaiElitei20,Hyundai,2011,290000,40000,Petrol
Hyundaii20Select,Hyundai,2011,290000,40000,Petrol
ChevroletTaveraNeo,Chevrolet,2007,465000,100800,Diesel
MarutiSuzukiDzire,Maruti,2016,325000,150000,Diesel
HyundaiElitei20,Hyundai,2018,510000,2100,Petrol
HondaCityVX,Honda,2016,860000,95000,Petrol
MarutiSuzukiDzire,Maruti,2016,450000,2500,Diesel
HyundaiGetz,Hyundai,2006,125000,80000,Petrol
MercedesBenzC,Mercedes,2006,500001,15000,Petrol
MarutiSuzukiAlto,Maruti,2005,95000,65000,Petrol
MarutiSuzukiSwift,Maruti,2009,250000,51000,Diesel
SkodaFabia,Skoda,2009,110000,45000,Petrol
MarutiSuzukiRitz,Maruti,2011,270000,50000,Petrol
TataIndicaV2,Tata,2009,110000,30000,Diesel
ToyotaCorollaAltis,Toyota,2009,300000,132000,Petrol
TataZestXM,Tata,2018,260000,27000,Diesel
MahindraQuantoC8,Mahindra,2013,390000,40000,Diesel
